topic,feature,describe
子女線(家風紋),子女線挺直明顯,婚姻線上有清楚且直立的豎文；此為兒女線。女子手上有此紋，撘配動脈紋，可由此判斷可生之胎數(以紋清、直立而論)，兒女外貌相。男子有此紋者，代表兒女身體健康，但若紋路不清或有雜紋干擾，則兒女體弱多病。
事業線(天喜紋),事業線偏移置無名指下,為人富有自信，做事高可成低可就，彈性及配合度極佳。有此紋者，也具有財運，可得意外之財，若往學術界發展，會有很好的成就，屬於天才型。
事業線(天喜紋),艮宮有一細紋朝向事業線,與父母感情間較為冷淡，婚後另一半的親戚對你的事業有幫助，可轉業。與子女的關系亦佳。
事業線(天喜紋),乾宮上有一細紋(線A)與事業線交叉,有此相者，適合離鄉往外地發展，運途可轉好，朋友忠心少背叛，異性緣不錯，異性朋友多有助益，但需僅慎拿捏彼此間的距離，否反為自已招禍。與父母感情間較為冷淡，雖彼此間並不親密，但卻也不離棄，婚後另一半的親戚對你的事業有幫助，可成就新事業。不過一旦新事業成功了，就不可再依靠對方，需自已打拼努力。乾紋最忌橫紋(如虛線B)，容易沉溺於酒色當中，為人風流，因酒色而失敗，但是否會誤事，則需細看紋路來評斷。
事業線(天喜紋),乾、艮、兌官各有一紋路與事業線相叉,有此紋者，才能出眾，若此三紋多有分叉、雜亂，運途多波折，在失敗中學得經驗，成功多不順利。事業線的雜紋多，則煩惱越多，明堂代表心志，若此處有雜紋，則富有志向但無節操，做事見風轉舵。
事業線(天喜紋),震宮有一紋線與事業線相交,個性好強、好勝，凡事欲速則不達，急事緩辦，宜先思考計畫後再行動，可避免不必要的錯誤及失敗，若有一技之長，則可安逸度日。有此紋者，個性較為孤僻，妻子的健康狀況不佳，拖累丈夫運途，時常為他人背黑鍋而損傷自已
事業線(天喜紋),事業線尾端分成二支線，分別位於艮宮與乾宮,有此紋者，忠誠之心可表於天，個性獨特，人生的際遇也很特別，受上天的助益，可得財富與名利，終得成功；但注定膝下無子女，父親亦早逝，獨立為佳。
事業線(天喜紋),事業線上的副紋與太陽線交叉,人緣佳，朋友多，但有此紋者，需靠自已努力，朋友少有幫助；勞多而利少，空有虛名而內無其實，內心較為鬱悶。
事業線(天喜紋),由生命線延申出的副紋，與事業線相交,為人處事積極努力，自動自發。
事業線(天喜紋),巽宮有副紋到事業線,具管理才能，可成領導者。
事業線(天喜紋),事業線上有副紋,對於原本的運途有所影響；副紋位於乾宮可得奇特的緣份，男者，閃電結婚，成就良好姻綠，但女性有此手紋則不吉，為男方所拖累，一生勞苦，疾病纏身，窮困心傷，最後仍是離異收場。
事業線(天喜紋),事業線有雙條，另一線頭尾有球形,有此紋者，可得名利，事業線頭尾有雙球原為不吉，但同時有二條事業時，反為吉利，若單只有一條事業線時，易有官司訴訟，無福氣。
事業線(天喜紋),事業線偏斜，二端又有雜紋支線,職業多變動，但可從中學習經驗而後成功，學習到許多經驗，為人較沉穩，男子宜離鄉工作，女子宜修飾自我外表，對於事業皆較有助益；男子在異性交往方面需注意，易被對方騙財騙色，而女性則需小心名譽損毀，需懂潔身自愛。
事業線(天喜紋),事業線達智慧線,萬事起頭難，聰明反被聰明誤，凡事宜腳踏實地，否則將因自已的貪念，而血本無歸。有此手紋者，年輕時運氣佳，但富貴需知無米苦，懂得儲畜和理財，為自已留下老本，否則老來窮苦，煩惱終生。
事業線(天喜紋),事業線紋路複雜,心思狡詐，多手段，前途多變化，為人飄浮不定，成功難預期。有此紋者，頭腦聰明，但行事不夠實際，城府極深而令自已精神衰弱，成敗需看紋路的變化，勸君多修養品德，晚年可有成功之機會。
事業線(天喜紋),事業線被其他的雜紋切斷,事業線被其他的雜紋切斷，則反吉成凶，成敗需以三才紋來做評估基礎，隨著雜紋變化而有不同的解釋，雜紋若比主紋還清楚，做事多不順，女性有二次以上婚姻，不停的更換住所。
事業線(天喜紋),事業線如荳牙根,在重疊運途多辛苦，有此手相者，聰明反被聰明誤，應修身養性才有好結果。
事業線(天喜紋),命運線生命線重疊,賣命的工作而後得到成功
事業線(天喜紋),命運線生命線交叉,交叉處工作過度，損傷身體，健康亮紅燈
事業線(天喜紋),命運線起於感情線,事業與名利屬晚成型(50歲以後可得成功)，大器晚成，少年時事業及生活少安定，凡事難以下定決心，但一旦下了決心，只待機會一來，這份事業就會持續到老。五十六歲起，雖屬安泰，實際則辛勞不斷。
事業線(天喜紋),事業線末端分叉，一向木星丘，一向土星丘,表示其人掌大權，且有優越感權威感，一生官運享通。
事業線(天喜紋),事業線起點分兩叉，一支向金星丘，一支向太陽丘,表示其人慾念過盛，其運程常受影響而多波折。
事業線(天喜紋),事業線從智慧線升起,三十五歲起走運，負重任，表示其人在晚年時能運用智慧以及本身經驗獲得一份成就。
事業線(天喜紋),事業線曲曲折折，斷斷續續,表示其人一生變化多端，運途多波折，為未來操煩，偶有成功，偶有失敗，斷裂處發生生活環境與職業的變化。在事業成功之時，男性易拋家棄子，而女性則婚姻不美滿。
事業線(天喜紋),事業線中斷處又有一線從旁升起,表示其人環境或事業將有更動。
事業線(天喜紋),事業線在掌心處中斷,表示其人在步入壯年之後，其事業將遭到挫折，而致使財產上有損失。斷裂處受到他人致命的傷害
事業線(天喜紋),事業線在手頸上中斷,表示其從年幼時坎坷，或曾學業中斷。
事業線(天喜紋),事業線被生命線包圍在金星丘,一生迷戀於情慾，且濫用感情，常迷戀有夫之婦（或有婦之夫），因此煩惱頗多。
事業線(天喜紋),事業線由金星丘上升至情感線為止,必與有名人士或富有之士結婚，但也含有神秘，因其一生運程是依其個性轉變，如果他個性開朗，則一生都能如意順利。
事業線(天喜紋),事業線中間斷掉,事業線中間斷掉，中年(40歲後)為疾病所苦，事業運途辛苦，但需忍耐，老年可享清閒，女子此相者，較不懂得照顧家裡、持家，容易被騙錢財，另一半需多費心思於家庭。
事業線(天喜紋),事業線止於感情線，貫穿智慧線,有此手紋者，父母早離異，朋友多有助益，宜先成家再立業，唯婚後，事業才能得到成功。穿過人紋，人紋斷開，若事業線雜亂則感情多波折，太陽線沒有助力，每日為生活奔波勞碌，難有所成就。
事業線(天喜紋),事業線在感情線下方，無貫穿智慧線,事業線在感情線下方。年輕時可得名利財富，但建議要懂得儲蓄理財，免得老來窮苦。做事只有三分鐘熱度，容易中途放棄，難有成就。
事業線(天喜紋),從手頸線上升至中指,表示其人命運特殊，有此紋者運勢強烈，一般人反而少吉利，運勢太強，本身難以承受，有這個運，卻沒那個命，做事要量力而為，有祖德庇蔭，則免強可維持。有此紋者，長輩或上司會給予很好的待遇、寵愛及期望，但為人需知足感恩，若貪圖名利聲望或過於招搖，小心功高震主，為自已招禍，下場淒慘。若此線呈深紅色，表示將遭到不名譽之害。
事業線(天喜紋),由手頸處上升至小指下的水星丘,此人必精於商業投資，若左右兩手皆同，其在商業上可得大成就。
事業線(天喜紋),由近手頸處上升至無名指下的太陽丘,表示其人有藝術天份，能運用藝術才能獲得財富。
事業線(天喜紋),靠近手頸處上升到食指下的木星丘,必能掌有權力，且能發揮本身所具有良好條件，由於權利行使得宜，其一生享有榮耀與名聲。
事業線(天喜紋),從手頸線升起，上升到中指下的土星丘,必可白手起家，創立一份屬於自己的事業，若成功線亦平行升起，其一生更是一帆風順。
事業線(天喜紋),事業線從金星丘出發上升,在物質生活方面得自雙親，親戚及祖先遺留下來的財產，因此在物質生活方面他一定是對愁缺少，但是他的事業線務必要超過情感線才行。
事業線(天喜紋),事業線從月丘上升,擅於社交活動以及有良好之人際關係，而且因創造性和宗教性的德養，可以獲得成功，具這種手紋之人，大都有賢內助。
事業線(天喜紋),事業線從生命線出發上升,可獲生命力強而充滿了活力，由於努力奮鬥的結果，社會地位大大提高，即使沒有獲得大的成功，也一定有值得滿足的幸運來臨。
事業線(天喜紋),事業線與太陽線並行上升,此人手掌上如再加上長相良好的吉相智慧線相配合，是可以按自己的能力獲得財產和名聲，所以稱之為大吉之相。
事業線(天喜紋),事業線後弱其末端呈現細又尖，且上升至智慧線,表示其人因見解錯誤，而遭到厄運。
事業線(天喜紋),事業線在手掌下顯現清楚，上升中卻漸不清楚,表示其人年輕時事業順利，中年之後運勢漸轉壞。
事業線(天喜紋),線深直而無別的支線,一生單獨自立來支持其事業，全無他人幫助，負擔甚重。
事業線(天喜紋),事業線淺又細窄，不明顯,不太愛受命運束縳，如有一條優美之理智線，則證明此人以物質作基礎。
事業線(天喜紋),事業線淺又寬闊,畢生要辛苦勞碌，生活上難望安定，終其身未能成大事業。
金星帶(橫財紋),金星帶位於四指之下,金星帶位於食指下方(A處)；為人處事較有自主權，決定權。金星帶位於中指下方(B處)；人際關係較差。金星帶位於無名指下方(C處)；做事以自我為中心，自私。金星帶位於小指下方(D處)；較為長壽。
金星帶(橫財紋),金星帶橫跟食指與小指之間,做事容易畫地自限，自已限制住自已，做事沒安全感，疑心病重，在未決定之前，容易懷疑東懷疑西。金星帶較長，則較富自信心；金星帶較短，思緒容易打死結，不懂得變通。建議在做事之前要先研究，等了解狀況再做決定，免得陷入自已的死結中。
金星帶(橫財紋),金星帶呈草根形，或像樹的形狀,個性喜新厭舊，懷習慣改不了，越改越差，等到想反悔時已來不及，只能自嘆自棄。有此相者大都為失敗者，喜歡假借聰明，裝內行。
金星帶(橫財紋),金星帶有二、三條，且並行在一起,紋清則做事較有條理，可得成就；雜亂則難有成果。
金星帶(橫財紋),金星帶有二、三條,此手相者，極富好奇心，做事喜歡故弄懸虛。
金星帶(橫財紋),金星帶靠近感情線，而感情線若開叉,個性較為念舊，喜歡回顧過去。
金星帶(橫財紋),金星帶靠近感情線,心情容易沉迷、不開朗；金星帶紋路清楚，則破財少，若線較為混雜則不良。
金星帶(橫財紋),感情線直達食指及中指間的指縫，與金星帶相交(金星帶紋路雜亂),容易對事情著迷，容易被牽著鼻子走，道聽塗說，需懂得自我修養，多行善事，才有機會迷途知返。
金星帶(橫財紋),感情線直達食指及中指間的指縫，又與金星帶相交,有此手相者，做事易執迷不悟，誤入歧途，錢財、名利落空。
金星帶(橫財紋),金星帶在掌尾呈半月狀,金星帶在掌尾呈半月狀，紋路清楚乾淨；感情線也很明顯，可借他人之力，完成自已的期望，得到的成果，往往超出自已的意料之外。紋線越長越有利，但忌與感情線相交。
金星帶(橫財紋),感情線上一橫直紋，稱為理財紋,理財紋代表意外之財；以紋路清秀明顯為佳，有此紋者，擅於理財，合適從事出納、會計、財務等職，可得名利富貴；但若雜亂則汲汲營營於生活忙碌中。
太陽線(高扶紋),太陽線伸入手掌心,心地好，度量佳，從基層開始打拼，慢慢升職，成為公司內的高級人員，成為老闆、上司的左右手。有此手紋者，可得富、貴、壽。
太陽線(高扶紋),太陽線如花形,有此紋者，天資聰明，喜到處旅遊並且從中學習，其學術及知識的涵養令人驚奇。
太陽線(高扶紋),太陽線尾端分叉，一指水星丘，一指向太陽丘,表示此人在商業上卓然有成，為自己帶來財富，建立起權威。
太陽線(高扶紋),太陽線從手頸線上升而起，有兩條直通太陽丘,表示此人精力超人一等，一生事業必有很大成就，名聲顯赫，財富很多，生活幸愉快，
太陽線(高扶紋),數條太陽線由掌心的並列而起,表示此人具多項才能，有目的的努力獲得成功。
太陽線(高扶紋),太陽線上的雜線長短不一而且三四條之多,表示此人一生運道不好，晚年同時進行多項事，結果年事已高，又加上自己心志不專，終是一事難成。
太陽線(高扶紋),太陽線上有短短二條雜線，位於無名指與小指之間,再說太陽線上的雜線，如果出現在無名指與小指之間，只有短短兩條太陽線，得成功，而且還有大利。
太陽線(高扶紋),太陽線上有一小短條雜線,表示此人一生成就不大，不過晚年仍不錯，並能善終。
太陽線(高扶紋),太陽線上有其他的雜線越過,行事手腕差，少有成功機會；空有能力卻苦無發揮機會，懷才不遇，只能等待時機的到來。有此紋者，凡事得按步就班，不可投機取巧，在未得時運之時，更要努力充實自已，一旦機會來了就要加緊把握，投機取巧只會讓事情更複雜，凡事謹慎而為之。
太陽線(高扶紋),太陽線起自智慧線,表示其人的事業是用腦力所換來的，且須至中年之後才能步入成功之途。
太陽線(高扶紋),太陽線起自感情線,表示其人對藝術有濃厚之興趣，五十歲之後開始走運，可獲得美滿幸福的婚姻，事業有成，地位及財富皆有很大的收穫，藝術作品可能留至後世。
太陽線(高扶紋),兩手的太陽線都起自生命線，直上月丘,表示其人家世淵源的關係，而在學術界享有盛名。
太陽線(高扶紋),太陽線起自生命線,表示其人能自我創造，能為自己創造機會，事業的成就，完全憑個人自己的智慧，才能以奮力不懈的精神得來，此種人也常獲得僥倖的成功，總之，起自生命線的太陽線，代表著好運。
太陽線(高扶紋),左右手者都有太陽線，而且智慧紋下垂至月丘，無名指中指幾乎一樣長,表示這個人極愛睹摶。
太陽線(高扶紋),太陽線中斷,表示中斷之後，此人幸運亦隨之停止，無論是從商或研究，都會屢遭挫敗，名譽及地位亦是一落千丈。
太陽線(高扶紋),太陽線明顯，然無名指同中指一樣長,表示此人一生守財如命，大凡一些吝嗇鬼多具此手紋。
太陽線(高扶紋),太陽線短,雖有財運，但名譽地位卻未必隨之而至。
太陽線(高扶紋),太陽線有一段消一段,表示在出現與消失之間有人緣到來，只要見到此線，便暗示機運即將來臨，人緣逐漸轉好。
太陽線(高扶紋),掌上沒有太陽線,降低了事業線的價值，使人終身勞碌辛苦，不能收到很大效果。
太陽線(高扶紋),細淺的太陽線，看來若有若無，淺紋不太明顯,對於個人的事業、名譽、財富都不能有很大幫助，必定要艱苦多年，才望小有成就。
太陽線(高扶紋),淺闊的太陽線,表示自己才幹並非最優秀，雖不能創立一番大事業，卻能以本身條件，在事業上有所成就，但帶來的財富、地位、名聲不大。
太陽線(高扶紋),深長形的太陽線,可說是吉星高照，它能使你成為受人歡迎的人物，並發揮自己的才能，且受到上級的賞識，對事業上種種波折都能夠一一克服，而且一帆風順，獲得極大成功。
太陽線(高扶紋),很短的太陽線,太陽線很短，卻證明是人在五十歲前後能得幸運之相，若說是財運或成功之相，倒不如說是能安享幸運晚年的手相。
太陽線(高扶紋),太陽線重疊又出現破損之狀,具此手紋之人，對任何事都喜沾手但又不能深入研究，太陽線中斷後又互相連繫，表示中斷那一年，生活上會有了轉變。
太陽線(高扶紋),太陽線起自生命線內的金星丘,表示有豐富愛情，以及善良之心，必能獲良好之伴侶，婚後夫婦亦能互敬互愛，白頭偕老。
太陽線(高扶紋),太陽線發起自月丘,表示需靠他人相助才能得到成功。
太陽線(高扶紋),太陽線起自掌心,表示這人中年之後才能漸有發展，中年前波折重重。
太陽線(高扶紋),太陽線由火星平原上升,在歷盡艱辛之後，過了中年可獲成功之吉相，但太陽線務必強而有力直升太陽丘才行。
太陽線(高扶紋),太陽線起自掌之基部，直上太陽丘,表示此人年輕時走運，一切發展都很順利，一生榮華富貴，可名利俱收。
太陽線(高扶紋),太陽線由手掌底部向太陽丘上升,具有此線的人，不但在社會上有名聲，而且也獲得事業成功或財運的吉相，如果再和事業線並行，其幸福更加倍增加。
火星線(貴人紋),貴人紋橫跨於震與艮中,是具有福氣之人，凡事少操勞。
火星線(貴人紋),貴人紋起於艮宮,做事較易感力不從心，往往有有餘而力不足之憾。
火星線(貴人紋),貴人紋起於震宮,個性較富正義感。
火星線(貴人紋),貴人紋撘配一清明的太陽線,有此手相者，一生平順，名揚四海，多子多孫，壽命亦長。
火星線(貴人紋),貴人線呈交叉狀，紋線深且清楚,可得功名利祿，白手起家，壽命亦較長；增壽、白手起家，興家，有助家運。財富、名利。
手腕線(動脈紋),動脈線斷斷續續,女子卵巢易有病變，需調理，懷孕易流產；男子較為氣虛，寒性食物少吃為妙。若動脈紋較為不清，則有久咳難癒的情況。
手腕線(動脈紋),動脈線位於手掌下,女子有此紋者，易有婦女病，生產時需注意血崩的發生，小孩易流產，或是夭折；男子則有精蟲稀少，難受孕的困擾。
手腕線(動脈紋),動脈線彎入手掌,需與健康線一同評估；動脈線主影響生殖，有此紋路者，女性需防流產，男者易有不孕症。
手腕線(動脈紋),在手腕動脈處紋路成交叉狀,女人容易有月事方面的問題，受孕較為困難，即使懷孕也容易小產。男子在手腕動脈處紋路成交叉狀，容易有敗腎問題，精氣神差，關節及脊椎骨及膝蓋容易有無力寒冷的情況，需注重休息養生，容易有關節炎方面的問題。
健康線,健康線位於智慧線底下，且較短,容易有胸腔、肺部疾病。
健康線,健康線達智慧線,健康方面需注意腦部疾病；腸胃皆不佳，女子有婦科毛病，腰酸背痛的問題。
健康線,健康線由生命線起頭,身體有病痛而難以根本治療，病痛反覆跟隨到老，甚有有遺傳子孫的可能。
健康線,健康線超出感情線，且斷斷續續,有此手紋者，腸胃方面虛弱，精神狀況較為昏沉，常有煩悶的事情。
健康線,健康線有雙條,容易過勞傷身，學生宜退學以調養身體；而當事業有所成就時，生活作息更要正常。
健康線,健康線斷斷續續,健康不佳，常有不明原因的病痛，耳朵有聽力方面的問題，男女皆有性方面的疾病，難痊愈。
健康線,健康線深明、紋路直,健康線以深明、紋路直為佳，學業有所成就，若較偏移則個性較為固執，行事剛直，不知變通。為人處事需是非要分明，否做事多徒勞無功，需修身養性，才能延壽益年
旅行線,遊行線與生命線相交,出外需小心意外事故，易客死異鄉，若此紋交叉雜亂，機率更加提高。
旅行線,旅行線交叉成為十字形,有貴人相助，往他鄉發展，可得名利。
旅行線,旅行線呈山形,易有口舌之爭，容易被激怒，陷入陷井中，惹來災禍。凡事多忍耐，和氣生財。
旅行線,在手刀處有橫線，稱為旅行線,經常旅遊，多見聞，紋路清則多有助益；若紋路雜亂則多有心事擾煩於心。旅行線出掌外，心事多，煩亂於心，若呈交叉狀，則代表有災難，出門旅行時要特別注意安全。
